congress,statabb,district,name,party,aauw,age,srvlng,woman,ngirls,nboys,demvote
105,CA,34,"TORRES, ESTEBAN E.",1,100,66,15,0,4,1,.63999999
105,NY,10,"TOWNS, EDOLPHUS",1,88,62,15,0,1,1,.89999998
105,OH,17,"TRAFICANT, JAMES A., JR.",1,63,55,13,0,2,0,.57999998
105,TX,2,"TURNER, JAMES W.",1,88,50,1,0,1,1,.44999999
105,MI,6,"UPTON, FRED",2,38,43,11,0,1,1,.46000001
105,NY,12,"VELAZQUEZ, NYDIA M.",1,100,43,5,1,0,0,.85000002
105,MN,4,"VENTO, BRUCE",1,100,56,21,0,0,3,.57999998
105,IN,1,"VISCLOSKEY, PETER J.",1,75,47,13,0,0,2,.57999998
105,NY,25,"WALSH, JAMES T.",2,25,49,9,0,1,2,.50999999
105,TN,3,"WAMP, ZACH",2,0,39,3,0,1,1,.46000001
105,CA,35,"WATERS, MAXINE",1,100,58,7,1,1,1,.83999997
105,OK,3,"WATKINS, WES",2,25,58,1,0,2,1,.47
105,NC,12,"WATT, MELVIN LU",1,100,51,5,0,0,2,.69
105,OK,4,"WATTS, JULIUS C.",2,25,39,3,0,3,2,.40000001
105,CA,29,"WAXMAN, HENRY A.",1,100,57,23,0,1,1,.66000003
105,PA,7,"WELDON, CURT",2,13,49,11,0,3,2,.44999999
105,FL,15,"WELDON, DAVID J.",2,0,43,3,0,1,0,.41
105,IL,11,"WELLER, GERALD C. (JERRY)",2,0,39,3,0,0,0,.50999999
105,FL,19,"WEXLER, ROBERT",1,100,36,1,0,2,1,.64999998
105,RI,2,"WEYGAND, ROBERT A.",1,63,48,1,0,2,1,.58999997
105,WA,1,"WHITE, RICHARD",2,38,43,3,0,3,1,.50999999
105,KY,1,"WHITFIELD, EDWARD",2,0,53,3,0,1,0,.47
105,MS,1,"WICKER, ROGER F.",2,0,45,3,0,2,1,.41999999
105,WV,2,"WISE, ROBERT E.",1,100,49,15,0,1,1,.49000001
105,VA,10,"WOLF, FRANK R.",2,13,57,17,0,4,1,.38
105,CA,6,"WOOLSEY, LYNN",1,100,59,5,1,1,3,.56999999
105,MD,4,"WYNN, ALBERT R.",1,100,45,5,0,1,0,.81
105,IL,9,"YATES, SIDNEY RICHARD",1,88,87,47,0,0,1,.69
105,FL,10,"YOUNG, C.W. (BILL)",2,0,66,27,0,0,3,.50999999
105,AK,1,"YOUNG, DONALD E.",2,13,63,25,0,2,0,.33000001
